timestamp,sampleNum,BIOZI,BIOZQ,BIOZ
73541.17504882812,283.0,14723.0,-7465.0,194925.0
73559.85766601562,284.0,14553.0,-7373.0,195017.0
73578.54028320312,285.0,14387.0,-7281.0,195109.0
73597.22290039062,286.0,14222.0,-7192.0,195198.0
73615.90551757812,287.0,14060.0,-7105.0,195285.0
73634.58813476562,288.0,13900.0,-7019.0,195371.0
73653.27075195312,289.0,13741.0,-6934.0,195456.0
73671.95336914062,290.0,13583.0,-6850.0,195540.0
73690.6357421875,291.0,13425.0,-6768.0,195622.0
73709.318359375,292.0,13267.0,-6688.0,195702.0
73728.0009765625,293.0,13110.0,-6611.0,195779.0
73746.68359375,294.0,12952.0,-6536.0,195854.0
73765.3662109375,295.0,12794.0,-6463.0,195927.0
73784.048828125,296.0,12640.0,-6390.0,196000.0
73802.7314453125,297.0,12490.0,-6317.0,196073.0
73821.4140625,298.0,12343.0,-6244.0,196146.0
73840.0966796875,299.0,12197.0,-6171.0,196219.0
73858.779296875,300.0,12054.0,-6098.0,196292.0
73877.4619140625,301.0,11914.0,-6023.0,196367.0
73896.14453125,302.0,11777.0,-5951.0,196439.0
73914.8271484375,303.0,11642.0,-5878.0,196512.0
73933.50952148438,304.0,11507.0,-5805.0,196585.0
73952.19213867188,305.0,11373.0,-5734.0,196656.0
73970.87475585938,306.0,11240.0,-5666.0,196724.0
73989.55737304688,307.0,11103.0,-5603.0,196787.0
74008.23999023438,308.0,10966.0,-5547.0,196843.0
74026.92260742188,309.0,10829.0,-5493.0,196897.0
74045.60522460938,310.0,10692.0,-5439.0,196951.0
74064.28784179688,311.0,10558.0,-5385.0,197005.0
74082.97045898438,312.0,10429.0,-5326.0,197064.0
74101.65307617188,313.0,10304.0,-5265.0,197125.0
74120.33569335938,314.0,10183.0,-5202.0,197188.0
74139.01831054688,315.0,10064.0,-5137.0,197253.0
74157.70068359375,316.0,9952.0,-5073.0,197317.0
74176.38330078125,317.0,9840.0,-5010.0,197380.0
74195.06591796875,318.0,9730.0,-4947.0,197443.0
74213.74853515625,319.0,9620.0,-4886.0,197504.0
74232.43115234375,320.0,9510.0,-4825.0,197565.0
74251.11376953125,321.0,9400.0,-4766.0,197624.0
74269.79638671875,322.0,9292.0,-4708.0,197682.0
74288.47900390625,323.0,9184.0,-4652.0,197738.0
74307.16162109375,324.0,9079.0,-4597.0,197793.0
74325.84423828125,325.0,8973.0,-4543.0,197847.0
74344.52685546875,326.0,8867.0,-4490.0,197900.0
74363.20947265625,327.0,8761.0,-4441.0,197949.0
74381.89184570312,328.0,8658.0,-4391.0,197999.0
74400.57446289062,329.0,8556.0,-4340.0,198050.0
74419.25708007812,330.0,8457.0,-4288.0,198102.0
74437.93969726562,331.0,8359.0,-4236.0,198154.0
74456.62231445312,332.0,8264.0,-4184.0,198206.0
74475.30493164062,333.0,8169.0,-4132.0,198258.0
